2019-01-29 20:25:34,696 [INFO]: start action
2019-01-29 20:25:58,222 [INFO]: start action
2019-01-29 20:28:38,970 [INFO]: start action
2019-01-29 20:37:02,353 [INFO]: start action
2019-01-29 20:38:52,650 [INFO]: start action
2019-01-29 20:39:55,123 [INFO]: start action
2019-01-29 20:40:34,360 [INFO]: start action
2019-01-29 20:40:51,073 [INFO]: start action
2019-01-29 21:48:12,870 [INFO]: start action
2019-01-29 22:11:31,117 [INFO]: start action
2019-01-29 22:11:58,394 [INFO]: start action
2019-01-29 22:12:25,485 [INFO]: start action
2019-01-29 22:14:03,752 [INFO]: start action
2019-01-29 22:14:16,511 [INFO]: start action
2019-01-29 22:14:17,592 [INFO]: This network is trained from scratch
2019-01-29 22:14:18,075 [INFO]: Starting training from step 0...
2019-01-29 22:16:15,274 [INFO]: 45200 iterations left,expected to finsh at Y-01-29 22:27:08 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:16,758 [INFO]: step 4900: gen_loss 0.962035, dis_loss 1.179168 (3933.4 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:16,758 [INFO]: 45100 iterations left,expected to finsh at Y-01-29 22:27:08 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:18,279 [INFO]: step 5000: gen_loss 0.751769, dis_loss 1.057672 (3911.2 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:18,279 [INFO]: 45000 iterations left,expected to finsh at Y-01-29 22:27:09 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:18,292 [DEBUG]: Saving checkpoint ...
2019-01-29 22:16:19,814 [INFO]: step 5100: gen_loss 2.242271, dis_loss 1.018887 (4131.6 examples/sec; 0.015 sec/batch)
2019-01-29 22:16:19,815 [INFO]: 44900 iterations left,expected to finsh at Y-01-29 22:27:10 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:21,304 [INFO]: step 5200: gen_loss 0.642703, dis_loss 1.239193 (4239.9 examples/sec; 0.015 sec/batch)
2019-01-29 22:16:21,304 [INFO]: 44800 iterations left,expected to finsh at Y-01-29 22:27:10 (avg speed: 0.014 sec/batch)
2019-01-29 22:16:22,827 [INFO]: step 5300: gen_loss 2.639355, dis_loss 1.364098 (3951.1 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:22,827 [INFO]: 44700 iterations left,expected to finsh at Y-01-29 22:27:11 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:24,309 [INFO]: step 5400: gen_loss 0.718173, dis_loss 1.115259 (4098.0 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:24,310 [INFO]: 44600 iterations left,expected to finsh at Y-01-29 22:27:11 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:25,810 [INFO]: step 5500: gen_loss 1.768980, dis_loss 0.951535 (3965.0 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:25,810 [INFO]: 44500 iterations left,expected to finsh at Y-01-29 22:27:11 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:27,328 [INFO]: step 5600: gen_loss 1.414357, dis_loss 0.937155 (3937.3 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:27,328 [INFO]: 44400 iterations left,expected to finsh at Y-01-29 22:27:12 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:28,830 [INFO]: step 5700: gen_loss 1.254897, dis_loss 1.261091 (3404.3 examples/sec; 0.019 sec/batch)
2019-01-29 22:16:28,830 [INFO]: 44300 iterations left,expected to finsh at Y-01-29 22:27:13 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:30,347 [INFO]: step 5800: gen_loss 2.451270, dis_loss 1.001545 (4045.5 examples/sec; 0.016 sec/batch)
2019-01-29 22:16:30,347 [INFO]: 44200 iterations left,expected to finsh at Y-01-29 22:27:13 (avg speed: 0.015 sec/batch)
2019-01-29 22:16:31,863 [INFO]: step 5900: gen_loss 1.375391, dis_loss 0.844415 (4152.8 examples/sec; 0.015 sec/batch)
