2019-01-14 10:21:31,165 [INFO]: start action
2019-01-14 10:21:33,639 [INFO]: Restore weights from ./checkpoints/mlp/model.ckpt-10000
2019-01-14 10:21:35,213 [INFO]: Starting training from step 10001...
2019-01-14 10:26:15,806 [INFO]: start action
2019-01-14 10:26:17,725 [INFO]: This network is trained from scratch
2019-01-14 10:26:19,167 [INFO]: Starting training from step 0...
2019-01-14 11:16:49,124 [INFO]: 9250 iterations left,expected to finsh at Y-01-14 21:38:48 (avg speed: 4.035 sec/batch)
2019-01-14 11:17:28,738 [INFO]: step 760: gen_loss 0.749516, dis_loss 0.702856 (33.3 examples/sec; 3.840 sec/batch)
2019-01-14 11:17:28,738 [INFO]: 9240 iterations left,expected to finsh at Y-01-14 21:38:39 (avg speed: 4.034 sec/batch)
2019-01-14 11:18:08,081 [INFO]: step 770: gen_loss 0.747740, dis_loss 0.700790 (32.2 examples/sec; 3.971 sec/batch)
2019-01-14 11:18:08,082 [INFO]: 9230 iterations left,expected to finsh at Y-01-14 21:38:26 (avg speed: 4.032 sec/batch)
2019-01-14 11:18:47,890 [INFO]: step 780: gen_loss 0.750406, dis_loss 0.692991 (32.4 examples/sec; 3.955 sec/batch)
2019-01-14 11:18:47,891 [INFO]: 9220 iterations left,expected to finsh at Y-01-14 21:38:19 (avg speed: 4.032 sec/batch)
2019-01-14 11:19:27,727 [INFO]: step 790: gen_loss 0.749631, dis_loss 0.689986 (32.9 examples/sec; 3.887 sec/batch)
2019-01-14 11:19:27,728 [INFO]: 9210 iterations left,expected to finsh at Y-01-14 21:38:13 (avg speed: 4.031 sec/batch)
2019-01-14 11:20:07,052 [INFO]: step 800: gen_loss 0.748795, dis_loss 0.698626 (31.8 examples/sec; 4.019 sec/batch)
2019-01-14 11:20:07,052 [INFO]: 9200 iterations left,expected to finsh at Y-01-14 21:38:01 (avg speed: 4.030 sec/batch)
2019-01-14 11:20:47,900 [INFO]: step 810: gen_loss 0.744493, dis_loss 0.702663 (28.5 examples/sec; 4.493 sec/batch)
2019-01-14 11:20:47,900 [INFO]: 9190 iterations left,expected to finsh at Y-01-14 21:38:08 (avg speed: 4.030 sec/batch)
2019-01-14 11:21:28,718 [INFO]: step 820: gen_loss 0.746261, dis_loss 0.699300 (32.9 examples/sec; 3.888 sec/batch)
2019-01-14 11:21:28,718 [INFO]: 9180 iterations left,expected to finsh at Y-01-14 21:38:14 (avg speed: 4.031 sec/batch)
2019-01-14 11:22:08,822 [INFO]: step 830: gen_loss 0.746916, dis_loss 0.696922 (31.9 examples/sec; 4.014 sec/batch)
2019-01-14 11:22:08,823 [INFO]: 9170 iterations left,expected to finsh at Y-01-14 21:38:11 (avg speed: 4.031 sec/batch)
2019-01-14 11:22:47,624 [INFO]: step 840: gen_loss 0.749077, dis_loss 0.696624 (33.3 examples/sec; 3.844 sec/batch)
2019-01-14 11:22:47,624 [INFO]: 9160 iterations left,expected to finsh at Y-01-14 21:37:54 (avg speed: 4.029 sec/batch)
2019-01-14 11:23:28,059 [INFO]: step 850: gen_loss 0.745186, dis_loss 0.695794 (32.2 examples/sec; 3.980 sec/batch)
2019-01-14 11:23:28,060 [INFO]: 9150 iterations left,expected to finsh at Y-01-14 21:37:55 (avg speed: 4.029 sec/batch)
2019-01-14 11:24:07,854 [INFO]: step 860: gen_loss 0.746770, dis_loss 0.697189 (33.4 examples/sec; 3.829 sec/batch)
2019-01-14 11:24:07,854 [INFO]: 9140 iterations left,expected to finsh at Y-01-14 21:37:49 (avg speed: 4.029 sec/batch)
2019-01-14 11:24:47,613 [INFO]: step 870: gen_loss 0.747714, dis_loss 0.697356 (29.4 examples/sec; 4.347 sec/batch)
2019-01-14 11:24:47,613 [INFO]: 9130 iterations left,expected to finsh at Y-01-14 21:37:43 (avg speed: 4.028 sec/batch)
2019-01-14 11:25:27,212 [INFO]: step 880: gen_loss 0.745275, dis_loss 0.699549 (33.2 examples/sec; 3.854 sec/batch)
2019-01-14 11:25:27,212 [INFO]: 9120 iterations left,expected to finsh at Y-01-14 21:37:36 (avg speed: 4.027 sec/batch)
2019-01-14 11:26:06,507 [INFO]: step 890: gen_loss 0.744417, dis_loss 0.697727 (33.1 examples/sec; 3.873 sec/batch)
2019-01-14 11:26:06,507 [INFO]: 9110 iterations left,expected to finsh at Y-01-14 21:37:25 (avg speed: 4.026 sec/batch)
2019-01-14 11:26:47,437 [INFO]: step 900: gen_loss 0.744249, dis_loss 0.697945 (30.4 examples/sec; 4.204 sec/batch)
2019-01-14 11:26:47,439 [INFO]: 9100 iterations left,expected to finsh at Y-01-14 21:37:32 (avg speed: 4.027 sec/batch)
2019-01-14 11:27:28,038 [INFO]: step 910: gen_loss 0.744381, dis_loss 0.697777 (33.2 examples/sec; 3.855 sec/batch)
2019-01-14 11:27:28,038 [INFO]: 9090 iterations left,expected to finsh at Y-01-14 21:37:36 (avg speed: 4.027 sec/batch)
2019-01-14 11:28:07,076 [INFO]: step 920: gen_loss 0.746098, dis_loss 0.697734 (32.9 examples/sec; 3.893 sec/batch)
2019-01-14 11:28:07,076 [INFO]: 9080 iterations left,expected to finsh at Y-01-14 21:37:22 (avg speed: 4.026 sec/batch)
2019-01-14 11:28:46,065 [INFO]: step 930: gen_loss 0.744947, dis_loss 0.695374 (32.7 examples/sec; 3.915 sec/batch)
2019-01-14 11:28:46,066 [INFO]: 9070 iterations left,expected to finsh at Y-01-14 21:37:09 (avg speed: 4.025 sec/batch)
